"filename", "language", "C++", "Markdown", "comment", "blank", "total"
"\media\luh0\PARA\Projects\Thesis\README.md", "Markdown", 0, -1, 0, -1, -2
"\media\luh0\PARA\Projects\Thesis\src\app\application.cpp", "C++", -49, 0, -3, -15, -67
"\media\luh0\PARA\Projects\Thesis\src\app\application.h", "C++", -62, 0, -5, -11, -78
"\media\luh0\PARA\Projects\Thesis\src\main.cpp", "C++", -10, 0, -16, -2, -28
"\media\luh0\PARA\Projects\Thesis\src\pch.h", "C++", -3, 0, 0, -1, -4
"\media\luh0\PARA\Projects\Thesis\src\sdl\sdl-base.cpp", "C++", -102, 0, 0, -14, -116
"\media\luh0\PARA\Projects\Thesis\src\sdl\sdl-base.h", "C++", -20, 0, 0, -4, -24
"\media\luh0\PARA\Projects\Thesis\src\thesis.h", "C++", -6, 0, 0, -3, -9
"\media\luh0\PARA\Projects\Thesis\src\vk\vulkan-base.h", "C++", -19, 0, -5, -7, -31
"\media\luh0\PARA\Projects\Thesis\src\vk\vulkan-instance.cpp", "C++", -27, 0, 0, -4, -31
"\media\luh0\PARA\Projects\Thesis\tests\test1\Test.cpp", "C++", -5, 0, 0, -1, -6
"d:\Projects\Thesis\README.md", "Markdown", 0, 1, 0, 1, 2
"d:\Projects\Thesis\src\app\application.cpp", "C++", 55, 0, 3, 15, 73
"d:\Projects\Thesis\src\app\application.h", "C++", 67, 0, 5, 11, 83
"d:\Projects\Thesis\src\main.cpp", "C++", 11, 0, 20, 3, 34
"d:\Projects\Thesis\src\memory_mger.h", "C++", 27, 0, 5, 9, 41
"d:\Projects\Thesis\src\pch.h", "C++", 3, 0, 0, 1, 4
"d:\Projects\Thesis\src\sdl\sdl-base.cpp", "C++", 102, 0, 0, 14, 116
"d:\Projects\Thesis\src\sdl\sdl-base.h", "C++", 20, 0, 0, 4, 24
"d:\Projects\Thesis\src\thesis.h", "C++", 6, 0, 0, 3, 9
"d:\Projects\Thesis\src\vk\vulkan-base.h", "C++", 25, 0, 4, 8, 37
"d:\Projects\Thesis\src\vk\vulkan-instance.cpp", "C++", 116, 0, 59, 13, 188
"d:\Projects\Thesis\tests\test1\Test.cpp", "C++", 5, 0, 0, 1, 6
"Total", "-", 134, 0, 67, 20, 221
