"filename", "language", "C++", "Markdown", "GLSL", "Batch", "comment", "blank", "total"
"d:\Projects\Thesis\README.md", "Markdown", 0, 1, 0, 0, 0, 1, 2
"d:\Projects\Thesis\src\app\application.cpp", "C++", 139, 0, 0, 0, 3, 17, 159
"d:\Projects\Thesis\src\app\application.h", "C++", 73, 0, 0, 0, 5, 11, 89
"d:\Projects\Thesis\src\main.cpp", "C++", 13, 0, 0, 0, 0, 0, 13
"d:\Projects\Thesis\src\memory_mger.h", "C++", 27, 0, 0, 0, 5, 9, 41
"d:\Projects\Thesis\src\pch.h", "C++", 3, 0, 0, 0, 0, 1, 4
"d:\Projects\Thesis\src\sdl\sdl_base.cpp", "C++", 112, 0, 0, 0, 0, 15, 127
"d:\Projects\Thesis\src\sdl\sdl_base.h", "C++", 21, 0, 0, 0, 0, 4, 25
"d:\Projects\Thesis\src\thesis.h", "C++", 6, 0, 0, 0, 0, 3, 9
"d:\Projects\Thesis\src\vk\shaders\compile_shaders.bat", "Batch", 0, 0, 0, 2, 0, 0, 2
"d:\Projects\Thesis\src\vk\shaders\triangle.frag", "GLSL", 0, 0, 7, 0, 0, 2, 9
"d:\Projects\Thesis\src\vk\shaders\triangle.vert", "GLSL", 0, 0, 17, 0, 0, 4, 21
"d:\Projects\Thesis\src\vk\vulkan_base.h", "C++", 109, 0, 0, 0, 4, 19, 132
"d:\Projects\Thesis\src\vk\vulkan_commands.cpp", "C++", 101, 0, 0, 0, 0, 8, 109
"d:\Projects\Thesis\src\vk\vulkan_device.cpp", "C++", 306, 0, 0, 0, 1, 54, 361
"d:\Projects\Thesis\src\vk\vulkan_instance.cpp", "C++", 194, 0, 0, 0, 19, 17, 230
"d:\Projects\Thesis\src\vk\vulkan_pipeline.cpp", "C++", 228, 0, 0, 0, 11, 40, 279
"d:\Projects\Thesis\tests\test1\Test.cpp", "C++", 5, 0, 0, 0, 0, 1, 6
"Total", "-", 1337, 1, 24, 2, 48, 206, 1618
