"filename", "language", "C++", "Batch", "GLSL", "Markdown", "comment", "blank", "total"
"d:\Projects\Thesis\README.md", "Markdown", 0, 0, 0, 1, 0, 1, 2
"d:\Projects\Thesis\src\app\application.cpp", "C++", 221, 0, 0, 0, 7, 36, 264
"d:\Projects\Thesis\src\app\application.h", "C++", 78, 0, 0, 0, 5, 11, 94
"d:\Projects\Thesis\src\main.cpp", "C++", 13, 0, 0, 0, 0, 1, 14
"d:\Projects\Thesis\src\memory_mger.h", "C++", 27, 0, 0, 0, 5, 9, 41
"d:\Projects\Thesis\src\pch.h", "C++", 27, 0, 0, 0, 0, 4, 31
"d:\Projects\Thesis\src\sdl\sdl_base.cpp", "C++", 135, 0, 0, 0, 0, 15, 150
"d:\Projects\Thesis\src\sdl\sdl_base.h", "C++", 22, 0, 0, 0, 0, 4, 26
"d:\Projects\Thesis\src\thesis.h", "C++", 6, 0, 0, 0, 0, 3, 9
"d:\Projects\Thesis\src\vk\shaders\compile_shaders.bat", "Batch", 0, 3, 0, 0, 0, 0, 3
"d:\Projects\Thesis\src\vk\shaders\triangle.frag", "GLSL", 0, 0, 9, 0, 1, 4, 14
"d:\Projects\Thesis\src\vk\shaders\triangle.vert", "GLSL", 0, 0, 17, 0, 0, 4, 21
"d:\Projects\Thesis\src\vk\vulkan_base.h", "C++", 193, 0, 0, 0, 7, 34, 234
"d:\Projects\Thesis\src\vk\vulkan_commands.cpp", "C++", 163, 0, 0, 0, 1, 25, 189
"d:\Projects\Thesis\src\vk\vulkan_descriptors.cpp", "C++", 122, 0, 0, 0, 1, 22, 145
"d:\Projects\Thesis\src\vk\vulkan_device.cpp", "C++", 324, 0, 0, 0, 1, 61, 386
"d:\Projects\Thesis\src\vk\vulkan_images.cpp", "C++", 217, 0, 0, 0, 9, 16, 242
"d:\Projects\Thesis\src\vk\vulkan_instance.cpp", "C++", 195, 0, 0, 0, 19, 17, 231
"d:\Projects\Thesis\src\vk\vulkan_pipeline.cpp", "C++", 345, 0, 0, 0, 11, 45, 401
"d:\Projects\Thesis\tests\test1\Test.cpp", "C++", 5, 0, 0, 0, 0, 1, 6
"Total", "-", 2093, 3, 26, 1, 67, 313, 2503
