"filename", "language", "GLSL", "Markdown", "Batch", "C++", "comment", "blank", "total"
"d:\Projects\Thesis\README.md", "Markdown", 0, 1, 0, 0, 0, 1, 2
"d:\Projects\Thesis\src\app\application.cpp", "C++", 0, 0, 0, 228, 7, 36, 271
"d:\Projects\Thesis\src\app\application.h", "C++", 0, 0, 0, 78, 5, 11, 94
"d:\Projects\Thesis\src\main.cpp", "C++", 0, 0, 0, 13, 0, 1, 14
"d:\Projects\Thesis\src\memory_mger.h", "C++", 0, 0, 0, 6, 26, 9, 41
"d:\Projects\Thesis\src\pch.h", "C++", 0, 0, 0, 28, 5, 5, 38
"d:\Projects\Thesis\src\sdl\sdl_base.cpp", "C++", 0, 0, 0, 135, 0, 15, 150
"d:\Projects\Thesis\src\sdl\sdl_base.h", "C++", 0, 0, 0, 22, 0, 4, 26
"d:\Projects\Thesis\src\thesis.h", "C++", 0, 0, 0, 6, 0, 3, 9
"d:\Projects\Thesis\src\vk\shaders\compile_shaders.bat", "Batch", 0, 0, 3, 0, 0, 0, 3
"d:\Projects\Thesis\src\vk\shaders\triangle.frag", "GLSL", 9, 0, 0, 0, 1, 4, 14
"d:\Projects\Thesis\src\vk\shaders\triangle.vert", "GLSL", 17, 0, 0, 0, 0, 4, 21
"d:\Projects\Thesis\src\vk\vulkan_base.h", "C++", 0, 0, 0, 231, 65, 55, 351
"d:\Projects\Thesis\src\vk\vulkan_commands.cpp", "C++", 0, 0, 0, 165, 1, 25, 191
"d:\Projects\Thesis\src\vk\vulkan_depth.cpp", "C++", 0, 0, 0, 50, 0, 8, 58
"d:\Projects\Thesis\src\vk\vulkan_descriptors.cpp", "C++", 0, 0, 0, 122, 1, 22, 145
"d:\Projects\Thesis\src\vk\vulkan_device.cpp", "C++", 0, 0, 0, 328, 1, 62, 391
"d:\Projects\Thesis\src\vk\vulkan_images.cpp", "C++", 0, 0, 0, 231, 9, 16, 256
"d:\Projects\Thesis\src\vk\vulkan_instance.cpp", "C++", 0, 0, 0, 195, 19, 17, 231
"d:\Projects\Thesis\src\vk\vulkan_model.cpp", "C++", 0, 0, 0, 52, 6, 7, 65
"d:\Projects\Thesis\src\vk\vulkan_pipeline.cpp", "C++", 0, 0, 0, 371, 9, 46, 426
"d:\Projects\Thesis\tests\test1\Test.cpp", "C++", 0, 0, 0, 5, 0, 1, 6
"Total", "-", 26, 1, 3, 2266, 155, 352, 2803
