"filename", "language", "Markdown", "C++", "GLSL", "Batch", "comment", "blank", "total"
"d:\dev\Thesis\README.md", "Markdown", 1, 0, 0, 0, 0, 1, 2
"d:\dev\Thesis\src\app\application.cpp", "C++", 0, 230, 0, 0, 7, 36, 273
"d:\dev\Thesis\src\app\application.h", "C++", 0, 78, 0, 0, 5, 11, 94
"d:\dev\Thesis\src\ecs\ecs_base.hpp", "C++", 0, 347, 0, 0, 1, 74, 422
"d:\dev\Thesis\src\ecs\ecs_base_old.h", "C++", 0, 128, 0, 0, 7, 24, 159
"d:\dev\Thesis\src\main.cpp", "C++", 0, 23, 0, 0, 4, 10, 37
"d:\dev\Thesis\src\memory_mger.h", "C++", 0, 6, 0, 0, 26, 9, 41
"d:\dev\Thesis\src\pch.h", "C++", 0, 31, 0, 0, 5, 5, 41
"d:\dev\Thesis\src\sdl\sdl_base.cpp", "C++", 0, 135, 0, 0, 0, 15, 150
"d:\dev\Thesis\src\sdl\sdl_base.h", "C++", 0, 22, 0, 0, 0, 4, 26
"d:\dev\Thesis\src\thesis.h", "C++", 0, 6, 0, 0, 0, 3, 9
"d:\dev\Thesis\src\vk\shaders\compile_shaders.bat", "Batch", 0, 0, 0, 3, 0, 0, 3
"d:\dev\Thesis\src\vk\shaders\triangle.frag", "GLSL", 0, 0, 9, 0, 1, 4, 14
"d:\dev\Thesis\src\vk\shaders\triangle.vert", "GLSL", 0, 0, 17, 0, 0, 4, 21
"d:\dev\Thesis\src\vk\vulkan_base.h", "C++", 0, 242, 0, 0, 10, 46, 298
"d:\dev\Thesis\src\vk\vulkan_commands.cpp", "C++", 0, 165, 0, 0, 1, 25, 191
"d:\dev\Thesis\src\vk\vulkan_depth.cpp", "C++", 0, 50, 0, 0, 0, 8, 58
"d:\dev\Thesis\src\vk\vulkan_descriptors.cpp", "C++", 0, 122, 0, 0, 1, 22, 145
"d:\dev\Thesis\src\vk\vulkan_device.cpp", "C++", 0, 352, 0, 0, 3, 65, 420
"d:\dev\Thesis\src\vk\vulkan_images.cpp", "C++", 0, 324, 0, 0, 11, 34, 369
"d:\dev\Thesis\src\vk\vulkan_instance.cpp", "C++", 0, 195, 0, 0, 19, 17, 231
"d:\dev\Thesis\src\vk\vulkan_model.cpp", "C++", 0, 52, 0, 0, 7, 7, 66
"d:\dev\Thesis\src\vk\vulkan_pipeline.cpp", "C++", 0, 388, 0, 0, 10, 48, 446
"d:\dev\Thesis\tests\test1\Test.cpp", "C++", 0, 5, 0, 0, 0, 1, 6
"Total", "-", 1, 2901, 26, 3, 118, 473, 3522
