"filename", "language", "C++", "GLSL", "Batch", "Markdown", "comment", "blank", "total"
"d:\Projects\Thesis\README.md", "Markdown", 0, 0, 0, 1, 0, 1, 2
"d:\Projects\Thesis\src\app\application.cpp", "C++", 234, 0, 0, 0, 19, 41, 294
"d:\Projects\Thesis\src\app\application.h", "C++", 86, 0, 0, 0, 5, 11, 102
"d:\Projects\Thesis\src\ecs\ecs_base.hpp", "C++", 351, 0, 0, 0, 9, 78, 438
"d:\Projects\Thesis\src\ecs\rendering_ecs.hpp", "C++", 119, 0, 0, 0, 2, 25, 146
"d:\Projects\Thesis\src\main.cpp", "C++", 80, 0, 0, 0, 0, 8, 88
"d:\Projects\Thesis\src\memory_mger.h", "C++", 6, 0, 0, 0, 26, 9, 41
"d:\Projects\Thesis\src\pch.h", "C++", 31, 0, 0, 0, 5, 5, 41
"d:\Projects\Thesis\src\sdl\sdl_base.cpp", "C++", 135, 0, 0, 0, 0, 15, 150
"d:\Projects\Thesis\src\sdl\sdl_base.h", "C++", 22, 0, 0, 0, 0, 4, 26
"d:\Projects\Thesis\src\thesis.h", "C++", 6, 0, 0, 0, 0, 3, 9
"d:\Projects\Thesis\src\vk\shaders\compile_shaders.bat", "Batch", 0, 0, 3, 0, 0, 0, 3
"d:\Projects\Thesis\src\vk\shaders\triangle.frag", "GLSL", 0, 9, 0, 0, 1, 4, 14
"d:\Projects\Thesis\src\vk\shaders\triangle.vert", "GLSL", 0, 22, 0, 0, 1, 5, 28
"d:\Projects\Thesis\src\vk\vulkan_base.h", "C++", 324, 0, 0, 0, 14, 67, 405
"d:\Projects\Thesis\src\vk\vulkan_commands.cpp", "C++", 214, 0, 0, 0, 4, 27, 245
"d:\Projects\Thesis\src\vk\vulkan_depth.cpp", "C++", 50, 0, 0, 0, 0, 8, 58
"d:\Projects\Thesis\src\vk\vulkan_descriptors.cpp", "C++", 122, 0, 0, 0, 1, 22, 145
"d:\Projects\Thesis\src\vk\vulkan_device.cpp", "C++", 352, 0, 0, 0, 5, 65, 422
"d:\Projects\Thesis\src\vk\vulkan_images.cpp", "C++", 324, 0, 0, 0, 12, 33, 369
"d:\Projects\Thesis\src\vk\vulkan_instance.cpp", "C++", 195, 0, 0, 0, 19, 17, 231
"d:\Projects\Thesis\src\vk\vulkan_model.cpp", "C++", 54, 0, 0, 0, 9, 7, 70
"d:\Projects\Thesis\src\vk\vulkan_pipeline.cpp", "C++", 394, 0, 0, 0, 163, 74, 631
"d:\Projects\Thesis\tests\test1\Test.cpp", "C++", 5, 0, 0, 0, 0, 1, 6
"Total", "-", 3104, 31, 3, 1, 295, 530, 3964
